player_id,player_lastname,player_firstname,season,pos,age,tm,g,gs,mp,fg,fga,fg_per,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts
matthwe02,Matthews,Wesley,2018,SF,31,DAL,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7
mbahalu01,Mbah-a-Moute,Luc,2018,PF,31,HOU,61,15,25.6,2.7,5.7,0.481,1,2.8,0.364,1.7,2.8,0.599,0.572,1.1,1.6,0.684,0.4,2.7,3,0.9,1.2,0.4,1.1,1.6,7.5
mcadoja01,Michael McAdoo,James,2018,PF,25,PHI,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7
mccawpa01,McCaw,Patrick,2018,SG,22,GSW,57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4
mccolcj01,McCollum,CJ,2018,SG,26,POR,81,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,5.9,12.7,0.465,0.506,2.6,3.1,0.836,0.7,3.3,4,3.4,1,0.4,1.9,2.1,21.4
mccontj01,McConnell,T.J.,2018,PG,25,PHI,76,1,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3,4,1.2,0.2,1.5,1.6,6.3
mccreer01,McCree,Erik,2018,SF,24,UTA,4,0,2,0,0.5,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0.3,0,0.3,0,0
mcculch01,McCullough,Chris,2018,PF,22,WAS,19,0,4.7,0.9,2.2,0.429,0.1,0.4,0.125,0.9,1.8,0.5,0.44,0.5,0.7,0.643,0.4,0.9,1.3,0.2,0,0.3,0.1,0.4,2.4
mcderdo01,McDermott,Doug,2018,SF,26,TOT,81,4,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.8,1,0.79,0.5,2,2.5,1,0.2,0.2,0.7,1.5,7.8
mcderdo01,McDermott,Doug,2018,SF,26,NYK,55,1,21.3,2.7,6,0.46,1,2.5,0.387,1.8,3.5,0.513,0.541,0.7,1,0.755,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,7.2
mcderdo01,McDermott,Doug,2018,SF,26,DAL,26,3,22.9,3.3,6.9,0.478,1.5,3,0.494,1.8,3.9,0.465,0.586,0.9,1.1,0.857,0.3,2.3,2.5,1.1,0.3,0.2,0.8,1.9,9
mcgeeja01,McGee,JaVale,2018,C,30,GSW,65,17,9.5,2.1,3.4,0.621,0,0.1,0,2.1,3.3,0.638,0.621,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8
