player_lastname,player_firstname,season,draymond
Early ,Cleanthony,2015,-1.808
Early ,Cleanthony,2016,-0.405
Alexander ,Cliff,2016,2.191
Capela ,Clint,2015,4.55
Capela ,Clint,2016,1.882
Capela ,Clint,2017,0.497
Capela ,Clint,2018,1.707
Capela ,Clint,2019,1.128
Zeller ,Cody,2014,0.541
Zeller ,Cody,2015,1.143
Zeller ,Cody,2016,0.34
Zeller ,Cody,2017,0.062
Zeller ,Cody,2018,1.138
Zeller ,Cody,2019,1.639
Aldrich ,Cole,2014,2.971
Aldrich ,Cole,2015,-0.031
Aldrich ,Cole,2016,-0.068
Aldrich ,Cole,2017,-0.54
Aldrich ,Cole,2018,-4.736
Sexton ,Collin,2019,-3.585
Brewer ,Corey,2014,-0.563
Brewer ,Corey,2015,-0.012
Brewer ,Corey,2016,-1.215
Brewer ,Corey,2017,-0.696
Brewer ,Corey,2018,-1.03
Brewer ,Corey,2019,-1.604
Jefferson ,Cory,2015,0.578
Jefferson ,Cory,2016,-0.196
Joseph ,Cory,2014,0.284
Joseph ,Cory,2015,1.125
Joseph ,Cory,2016,0.955
Joseph ,Cory,2017,0.058
Joseph ,Cory,2018,-0.065
Joseph ,Cory,2019,1.127
Clarke ,Coty,2016,-2.534
Lee ,Courtney,2014,0.911
Lee ,Courtney,2015,-0.761
Lee ,Courtney,2016,1.128
Lee ,Courtney,2017,-0.512
Lee ,Courtney,2018,-0.569
Lee ,Courtney,2019,-0.944
Felicio ,Cristiano,2016,3.773
Felicio ,Cristiano,2017,-0.269
Felicio ,Cristiano,2018,-1.292
Felicio ,Cristiano,2019,-0.474
Russell ,D'Angelo,2016,-1.424
Russell ,D'Angelo,2017,-1.375
Russell ,D'Angelo,2018,-1.862
Russell ,D'Angelo,2019,0.326
Augustin ,D.J.,2014,-0.29
Augustin ,D.J.,2015,-0.732
Augustin ,D.J.,2016,-2.182
Augustin ,D.J.,2017,-1.464
Augustin ,D.J.,2018,-1.137
Augustin ,D.J.,2019,-1.766
Wilson ,D.J.,2018,-4.411
Wilson ,D.J.,2019,0.961
Stephens ,DJ,2014,1.443
Stephens ,DJ,2019,-25.985
White ,DJ,2014,-3.096
Jones ,Dahntay,2015,-1.505
Jones ,Dahntay,2016,0.913
Jones ,Dahntay,2017,-0.226
Bertans ,Dairis,2019,-7.336
Johnson ,Dakari,2018,2.385
Jones ,Damian,2017,3.513
Jones ,Damian,2018,-1.881
Jones ,Damian,2019,1.136
Lillard ,Damian,2014,0.33
Lillard ,Damian,2015,-0.237
Lillard ,Damian,2016,0.113
Lillard ,Damian,2017,-0.4
Lillard ,Damian,2018,0.71
Lillard ,Damian,2019,0.404
Inglis ,Damien,2016,0.241
Wilkins ,Damien,2018,1.453
James ,Damion,2014,1.725
Lee ,Damion,2018,0.99
Lee ,Damion,2019,-2.347
Rudez ,Damjan,2015,-0.997
Rudez ,Damjan,2016,0.275
Rudez ,Damjan,2017,-4.27
Dotson ,Damyean,2018,0.753
Dotson ,Damyean,2019,-1.36
Hamilton ,Daniel,2018,-2.599
Hamilton ,Daniel,2019,3.078
Ochefu ,Daniel,2017,-2.115
Orton ,Daniel,2014,1.502
Theis ,Daniel,2018,1.35
Theis ,Daniel,2019,0.336
Gallinari ,Danilo,2015,-1.16
Gallinari ,Danilo,2016,-1.58
Gallinari ,Danilo,2017,0.18
Gallinari ,Danilo,2018,1.315
Gallinari ,Danilo,2019,-0.647
Granger ,Danny,2014,2.233
Granger ,Danny,2015,-1.407
Green ,Danny,2014,1.534
Green ,Danny,2015,0.985
Green ,Danny,2016,1.32
Green ,Danny,2017,1.736
Green ,Danny,2018,1.524
Green ,Danny,2019,0.081
Cunningham ,Dante,2014,-0.395
Cunningham ,Dante,2015,-0.828
Cunningham ,Dante,2016,-1.221
Cunningham ,Dante,2017,-0.569
Cunningham ,Dante,2018,-1.398
Cunningham ,Dante,2019,-3.582
Exum ,Dante,2015,-1.141
Exum ,Dante,2017,1.689
Exum ,Dante,2018,4.815
Exum ,Dante,2019,0.766
House Jr.,Danuel,2017,-2.566
House Jr.,Danuel,2018,1.042
House Jr.,Danuel,2019,0.399
Saric ,Dario,2017,0.019
Saric ,Dario,2018,-0.097
Saric ,Dario,2019,0.106
Johnson-Odom ,Darius,2014,1.874
Miller ,Darius,2014,-0.732
Miller ,Darius,2015,1.746
Miller ,Darius,2018,0.196
Miller ,Darius,2019,0.697
Morris ,Darius,2014,-4.483
Morris ,Darius,2015,-1.494
Arthur ,Darrell,2014,1.218
Arthur ,Darrell,2015,1.924
Arthur ,Darrell,2016,1.257
Arthur ,Darrell,2017,0.69
Arthur ,Darrell,2018,-3.631
Collison ,Darren,2014,0.303
Collison ,Darren,2015,0.792
Collison ,Darren,2016,-1.799
Collison ,Darren,2017,-0.01
Collison ,Darren,2018,-0.131
Collison ,Darren,2019,-1.437
Hilliard ,Darrun,2016,-0.91
Hilliard ,Darrun,2017,-0.223
Hilliard ,Darrun,2018,-5.93
Macon ,Daryl,2019,1.915
Lee ,David,2014,0.893
Lee ,David,2015,0.442
Lee ,David,2016,0.179
Lee ,David,2017,0.77
Nwaba ,David,2017,1.408
Nwaba ,David,2018,-2.362
Nwaba ,David,2019,-0.319
Stockton ,David,2015,10.833
Stockton ,David,2018,-1.971
Wear ,David,2015,-5.121
West ,David,2014,1.475
West ,David,2015,-0.684
West ,David,2016,0.927
West ,David,2017,3.334
West ,David,2018,3.348
Bertans ,Davis,2017,0.936
Bertans ,Davis,2018,2.171
Bertans ,Davis,2019,0.124
Reed ,Davon,2018,-0.781
Reed ,Davon,2019,2.357
Fox ,De'Aaron,2018,-0.473
Fox ,De'Aaron,2019,-0.169
Melton ,De'Anthony,2019,-0.408
Jordan ,DeAndre,2014,1.18
Jordan ,DeAndre,2015,0.43
Jordan ,DeAndre,2016,1.731
Jordan ,DeAndre,2017,1.019
Jordan ,DeAndre,2018,0.548
Jordan ,DeAndre,2019,0.833
Liggins ,DeAndre,2014,-2.554
Liggins ,DeAndre,2017,-1.289
Liggins ,DeAndre,2018,-2.92
Bembry ,DeAndre',2017,1.26
Bembry ,DeAndre',2018,-1.866
Bembry ,DeAndre',2019,-0.997
Blair ,DeJuan,2014,-1.18
Blair ,DeJuan,2015,-1.273
Blair ,DeJuan,2016,-0.19
DeRozan ,DeMar,2014,-0.45
DeRozan ,DeMar,2015,-1.586
DeRozan ,DeMar,2016,-1.228
DeRozan ,DeMar,2017,-0.466
DeRozan ,DeMar,2018,-0.595
DeRozan ,DeMar,2019,-0.955
Cousins ,DeMarcus,2014,0.921
Cousins ,DeMarcus,2015,1.377
Cousins ,DeMarcus,2016,0.831
Cousins ,DeMarcus,2017,0.753
Cousins ,DeMarcus,2018,0.625
Cousins ,DeMarcus,2019,2.178
Carroll ,DeMarre,2014,0.333
Carroll ,DeMarre,2015,-0.223
Carroll ,DeMarre,2016,0.562
Carroll ,DeMarre,2017,1.859
Carroll ,DeMarre,2018,0.032
Carroll ,DeMarre,2019,-0.537
Akoon-Purcell ,DeVaughn,2019,-8.117
Ayton ,Deandre,2019,0.616
Murray ,Dejounte,2017,1.602
Murray ,Dejounte,2018,-0.344
Wright ,Delon,2016,0.901
Wright ,Delon,2017,1.28
Wright ,Delon,2018,1.129
Wright ,Delon,2019,0.429
Jackson ,Demetrius,2017,-5.817
Jackson ,Demetrius,2018,-2.795
Jackson ,Demetrius,2019,3.44
Adel ,Deng,2019,-0.795
Schroder ,Dennis,2014,0.199
Schroder ,Dennis,2015,-1.159
Schroder ,Dennis,2016,0.619
Schroder ,Dennis,2017,0.473
Schroder ,Dennis,2018,-1.561
Schroder ,Dennis,2019,-0.417
Smith Jr.,Dennis,2018,-0.842
Smith Jr.,Dennis,2019,1.153
Valentine ,Denzel,2017,1.191
Valentine ,Denzel,2018,-1.206
Burton ,Deonte,2019,1.354
Fisher ,Derek,2014,-1.848
Williams ,Deron,2014,-0.077
Williams ,Deron,2015,-1.241
Williams ,Deron,2016,0.238
Williams ,Deron,2017,-0.097
Favors ,Derrick,2014,0.938
Favors ,Derrick,2015,2.398
Favors ,Derrick,2016,1.347
Favors ,Derrick,2017,0.777
Favors ,Derrick,2018,1.678
Favors ,Derrick,2019,3.741
Jones Jr.,Derrick,2017,0.226
Jones Jr.,Derrick,2018,1.205
Jones Jr.,Derrick,2019,3.101
Rose ,Derrick,2014,2.384
Rose ,Derrick,2015,1.114
Rose ,Derrick,2016,-0.274
Rose ,Derrick,2017,0.95
Rose ,Derrick,2018,-1.26
Rose ,Derrick,2019,0.265
Walton Jr.,Derrick,2018,0.233
White ,Derrick,2018,6.031
White ,Derrick,2019,1.742
Williams ,Derrick,2014,-1.088
Williams ,Derrick,2015,-1.263
Williams ,Derrick,2016,-0.033
Williams ,Derrick,2017,-0.902
Williams ,Derrick,2018,3.019
Booker ,Devin,2016,-1.399
Booker ,Devin,2017,-0.322
Booker ,Devin,2018,-0.686
Booker ,Devin,2019,-0.929
Harris ,Devin,2014,0.106
Harris ,Devin,2015,0.972
Harris ,Devin,2016,-1.646
Harris ,Devin,2017,0.062
Harris ,Devin,2018,-0.635
Harris ,Devin,2019,-0.848
Robinson ,Devin,2018,-2.414
Robinson ,Devin,2019,2.943
Graham ,Devonte',2019,-2.118
Marble ,Devyn,2015,-2.194
Marble ,Devyn,2016,-2.085
Dedmon ,Dewayne,2014,0.228
Dedmon ,Dewayne,2015,1.758
Dedmon ,Dewayne,2016,0.942
Dedmon ,Dewayne,2017,2.742
Dedmon ,Dewayne,2018,0.573
Dedmon ,Dewayne,2019,0.756
Pittman ,Dexter,2014,12.205
Davis ,Deyonta,2017,3.236
Davis ,Deyonta,2018,-0.731
Davis ,Deyonta,2019,1.858
Stone ,Diamond,2017,-5.219
Garrett ,Diante,2014,0.037
Brooks ,Dillon,2018,-1.217
Brooks ,Dillon,2019,0.949
Waiters ,Dion,2014,0.094
Waiters ,Dion,2015,-0.01
Waiters ,Dion,2016,1.03
Waiters ,Dion,2017,2.099
Waiters ,Dion,2018,-0.788
Waiters ,Dion,2019,-0.379
Christmas ,Dionte,2014,-2.795
Nowitzki ,Dirk,2014,0.161
Nowitzki ,Dirk,2015,-0.873
Nowitzki ,Dirk,2016,-0.004
Nowitzki ,Dirk,2017,-0.314
Nowitzki ,Dirk,2018,-0.235
Nowitzki ,Dirk,2019,-2.228
Sabonis ,Domantas,2017,0.493
Sabonis ,Domantas,2018,0.623
Sabonis ,Domantas,2019,0.217
Sloan ,Donald,2014,-4.382
Sloan ,Donald,2015,0.161
