player_id,player_lastname,player_firstname,season,draymond
abrinal01,Abrines,Alex,2017,-2.2680000000000002
abrinal01,Abrines,Alex,2019,-1.125
abrinal01,Abrines,Alex,2018,-0.6409999999999999
acyqu01,Acy,Quincy,2016,-0.524
acyqu01,Acy,Quincy,2017,1.415
acyqu01,Acy,Quincy,2018,-0.373
acyqu01,Acy,Quincy,2019,0.741
acyqu01,Acy,Quincy,2015,1.2819999999999998
acyqu01,Acy,Quincy,2014,1.923
adamsst01,Adams,Steven,2015,1.306
adamsst01,Adams,Steven,2014,0.23600000000000002
adamsst01,Adams,Steven,2018,1.208
adamsst01,Adams,Steven,2019,0.777
adamsst01,Adams,Steven,2017,0.34600000000000003
adamsst01,Adams,Steven,2016,2.428
adamsja01,Adams,Jaylen,2019,-1.3419999999999999
adamsjo01,Adams,Jordan,2016,-5.118
adamsjo01,Adams,Jordan,2015,-2.244
adebaba01,Adebayo,Bam,2019,0.735
adebaba01,Adebayo,Bam,2018,1.0390000000000001
adelde01,Adel,Deng,2019,-0.795
adrieje01,Adrien,Jeff,2014,-2.044
adrieje01,Adrien,Jeff,2015,-0.467
afflaar01,Afflalo,Arron,2015,0.483
afflaar01,Afflalo,Arron,2018,0.426
afflaar01,Afflalo,Arron,2017,-2.214
afflaar01,Afflalo,Arron,2014,-1.736
afflaar01,Afflalo,Arron,2016,-0.22
ajincal01,Ajinca,Alexis,2016,0.042
ajincal01,Ajinca,Alexis,2015,0.9179999999999999
ajincal01,Ajinca,Alexis,2017,0.544
ajincal01,Ajinca,Alexis,2014,-1.232
akoonde01,Akoon-Purcell,DeVaughn,2019,-8.117
aldemfu01,Aldemir,Furkan,2015,-0.743
aldrico01,Aldrich,Cole,2017,-0.54
aldrico01,Aldrich,Cole,2018,-4.736000000000001
aldrico01,Aldrich,Cole,2015,-0.031
aldrico01,Aldrich,Cole,2016,-0.068
aldrico01,Aldrich,Cole,2014,2.971
aldrila01,Aldridge,LaMarcus,2019,1.818
aldrila01,Aldridge,LaMarcus,2018,1.44
aldrila01,Aldridge,LaMarcus,2017,1.5
aldrila01,Aldridge,LaMarcus,2016,1.035
aldrila01,Aldridge,LaMarcus,2015,1.172
aldrila01,Aldridge,LaMarcus,2014,0.622
alexacl01,Alexander,Cliff,2016,2.191
alkinra01,Alkins,Rawle,2019,-0.124
allengr01,Allen,Grayson,2019,-1.1740000000000002
allenla01,Allen,Lavoy,2016,0.273
allenla01,Allen,Lavoy,2017,0.667
allenla01,Allen,Lavoy,2015,0.6809999999999999
allenla01,Allen,Lavoy,2014,-0.609
allento01,Allen,Tony,2018,-0.63
allento01,Allen,Tony,2016,0.111
allento01,Allen,Tony,2015,2.294
allento01,Allen,Tony,2014,2.335
allento01,Allen,Tony,2017,-0.136
allenja01,Allen,Jarrett,2018,1.621
allenja01,Allen,Jarrett,2019,0.871
allenka01,Allen,Kadeem,2019,-0.16
allenka01,Allen,Kadeem,2018,-0.89
allenra02,Allen,Ray,2014,-1.618
aminual01,Aminu,Al-Farouq,2014,-1.204
