player_id,player_lastname,player_firstname
crawfjo02,Crawford,Jordan
crawfja01,Crawford,Jamal
creekmi01,Creek,Mitch
crowdja01,Crowder,Jae
cunnida01,Cunningham,Dante
cunnija01,Cunningham,Jared
curryse01,Curry,Seth
curryst01,Curry,Stephen
dalemsa01,Dalembert,Samuel
danietr01,Daniels,Troy
datomlu01,Datome,Luigi
daviebr01,Davies,Brandon
davised01,Davis,Ed
davisan02,Davis,Anthony
davisgl01,Davis,Glen
davisde01,Davis,Deyonta
davisty01,Davis,Tyler
dawkian01,Dawkins,Andre
dawsobr01,Dawson,Branden
dayeau01,Daye,Austin
decolna01,De Colo,Nando
derozde01,DeRozan,DeMar
dedmode01,Dedmon,Dewayne
dejeabr01,Dejean-Jones,Bryce
dekkesa01,Dekker,Sam
delanma01,Delaney,Malcolm
delgaan01,Delgado,Angel
dellama01,Dellavedova,Matthew
denglu01,Deng,Luol
derrima01,Derrickson,Marcus
divindo01,DiVincenzo,Donte
diallch01,Diallo,Cheick
diallha01,Diallo,Hamidou
diawbo01,Diaw,Boris
dienggo01,Dieng,Gorgui
dinwisp01,Dinwiddie,Spencer
doncilu01,Doncic,Luka
dorsety01,Dorsey,Tyler
dorsejo01,Dorsey,Joey
dotsoda01,Dotson,Damyean
douglto01,Douglas,Toney
douglch01,Douglas-Roberts,Chris
doylemi01,Doyle,Milton
doziepj01,Dozier,PJ
dragigo01,Dragic,Goran
dragizo01,Dragic,Zoran
drewla02,Drew,Larry
drumman01,Drummond,Andre
dudleja01,Dudley,Jared
dukandu01,Dukan,Duje
duncati01,Duncan,Tim
dunlemi02,Dunleavy,Mike
dunnkr01,Dunn,Kris
duranke01,Durant,Kevin
duvaltr01,Duval,Trevon
earlycl01,Early,Cleanthony
eddieja01,Eddie,Jarell
edwarvi01,Edwards,Vince
edwarsh01,Edwards,Shane
ellenhe01,Ellenson,Henry
ellinwa01,Ellington,Wayne
ellismo01,Ellis,Monta
elyme01,Ely,Melvin
embiijo01,Embiid,Joel
ennisja01,Ennis,James
ennisty01,Ennis,Tyler
eubandr01,Eubanks,Drew
evansja02,Evans,Jacob
evansja01,Evans,Jawun
evansty01,Evans,Tyreke
evansre01,Evans,Reggie
evansje01,Evans,Jeremy
exumda01,Exum,Dante
ezelife01,Ezeli,Festus
farieke01,Faried,Kenneth
farmajo01,Farmar,Jordan
favervi01,Faverani,Vitor
favorde01,Favors,Derrick
feldeka01,Felder,Kay
feliccr01,Felicio,Cristiano
felixca01,Felix,Carrick
feltora01,Felton,Raymond
fergute01,Ferguson,Terrance
ferreyo01,Ferrell,Yogi
fieldla01,Fields,Landry
finnedo01,Finney-Smith,Dorian
fishede01,Fisher,Derek
forbebr01,Forbes,Bryn
fournev01,Fournier,Evan
foxde01,Fox,De'Aaron
foyera01,Foye,Randy
frankja01,Franklin,Jamaal
